"ano","uf","racacor","nascidos_vivos"
2020,"GO","Preta",5069
2020,"MA","Amarela",300
2020,"MA","Branca",7210
2020,"MA","Ignorado",10476
2020,"MA","Indígena",1522
2020,"MA","Parda",81981
2020,"MA","Preta",4584
2020,"MG","Amarela",1964
2020,"MG","Branca",79732
2020,"MG","Ignorado",7262
2020,"MG","Indígena",530
2020,"MG","Parda",134330
2020,"MG","Preta",23374
2020,"MS","Amarela",172
2020,"MS","Branca",14793
2020,"MS","Ignorado",125
2020,"MS","Indígena",2085
2020,"MS","Parda",22679
2020,"MS","Preta",1454
2020,"MT","Amarela",277
2020,"MT","Branca",13617
2020,"MT","Ignorado",936
2020,"MT","Indígena",1770
2020,"MT","Parda",36761
2020,"MT","Preta",3675
2020,"PA","Amarela",319
2020,"PA","Branca",7788
2020,"PA","Ignorado",3425
2020,"PA","Indígena",1503
2020,"PA","Parda",116814
2020,"PA","Preta",3088
2020,"PB","Amarela",93
2020,"PB","Branca",5764
2020,"PB","Ignorado",5224
2020,"PB","Indígena",270
2020,"PB","Parda",44396
2020,"PB","Preta",632
2020,"PE","Amarela",360
2020,"PE","Branca",23846
2020,"PE","Ignorado",1729
2020,"PE","Indígena",1100
2020,"PE","Parda",94282
2020,"PE","Preta",7153
2020,"PI","Amarela",189
2020,"PI","Branca",3641
2020,"PI","Ignorado",3200
2020,"PI","Indígena",91
2020,"PI","Parda",36496
2020,"PI","Preta",1608
2020,"PR","Amarela",564
2020,"PR","Branca",105346
2020,"PR","Ignorado",1639
2020,"PR","Indígena",491
2020,"PR","Parda",33890
2020,"PR","Preta",4359
2020,"RJ","Amarela",841
2020,"RJ","Branca",63584
2020,"RJ","Ignorado",4468
2020,"RJ","Indígena",157
2020,"RJ","Parda",102067
2020,"RJ","Preta",27993
2020,"RN","Amarela",169
2020,"RN","Branca",12082
2020,"RN","Ignorado",544
2020,"RN","Indígena",36
2020,"RN","Parda",29309
2020,"RN","Preta",1391
2020,"RO","Amarela",134
2020,"RO","Branca",4747
2020,"RO","Ignorado",564
2020,"RO","Indígena",413
