"ano (nome)","Ano","localidade (nome)","uf","ano","nascidos"
2019,"24.034","Tocantins","TO",2019,"24.034"
2019,"805.825","Nordeste",NA,2019,"805.825"
2019,"111.336","Maranhão","MA",2019,"111.336"
2019,"50.464","Piauí","PI",2019,"50.464"
2019,"129.158","Ceará","CE",2019,"129.158"
2019,"44.623","Rio Grande do Norte","RN",2019,"44.623"
2019,"57.413","Paraíba","PB",2019,"57.413"
2019,"134.419","Pernambuco","PE",2019,"134.419"
2019,"49.638","Alagoas","AL",2019,"49.638"
2019,"33.724","Sergipe","SE",2019,"33.724"
2019,"195.050","Bahia","BA",2019,"195.050"
2019,"1.103.532","Sudeste",NA,2019,"1.103.532"
2019,"256.456","Minas Gerais","MG",2019,"256.456"
2019,"54.491","Espírito Santo","ES",2019,"54.491"
2019,"207.964","Rio de Janeiro","RJ",2019,"207.964"
2019,"584.621","São Paulo","SP",2019,"584.621"
2019,"385.914","Sul",NA,2019,"385.914"
2019,"153.564","Paraná","PR",2019,"153.564"
2019,"97.775","Santa Catarina","SC",2019,"97.775"
2019,"134.575","Rio Grande do Sul","RS",2019,"134.575"
2019,"241.206","Centro-Oeste",NA,2019,"241.206"
2019,"43.241","Mato Grosso do Sul","MS",2019,"43.241"
2019,"58.848","Mato Grosso","MT",2019,"58.848"
2019,"83.649","Goiás","GO",2019,"83.649"
2019,"55.468","Distrito Federal","DF",2019,"55.468"
2020,"2.730.145","Brasil",NA,2020,"2.730.145"
2020,"300.867","Norte",NA,2020,"300.867"
2020,"25.645","Rondônia","RO",2020,"25.645"
2020,"15.945","Acre","AC",2020,"15.945"
2020,"75.073","Amazonas","AM",2020,"75.073"
2020,"13.738","Roraima","RR",2020,"13.738"
2020,"130.999","Pará","PA",2020,"130.999"
2020,"15.995","Amapá","AP",2020,"15.995"
2020,"23.472","Tocantins","TO",2020,"23.472"
2020,"770.996","Nordeste",NA,2020,"770.996"
2020,"103.756","Maranhão","MA",2020,"103.756"
2020,"47.865","Piauí","PI",2020,"47.865"
2020,"121.891","Ceará","CE",2020,"121.891"
2020,"44.084","Rio Grande do Norte","RN",2020,"44.084"
2020,"56.125","Paraíba","PB",2020,"56.125"
2020,"130.272","Pernambuco","PE",2020,"130.272"
2020,"48.095","Alagoas","AL",2020,"48.095"
2020,"32.805","Sergipe","SE",2020,"32.805"
2020,"186.103","Bahia","BA",2020,"186.103"
2020,"1.052.832","Sudeste",NA,2020,"1.052.832"
2020,"246.922","Minas Gerais","MG",2020,"246.922"
2020,"53.407","Espírito Santo","ES",2020,"53.407"
2020,"199.066","Rio de Janeiro","RJ",2020,"199.066"
2020,"553.437","São Paulo","SP",2020,"553.437"
2020,"374.825","Sul",NA,2020,"374.825"
2020,"146.471","Paraná","PR",2020,"146.471"
2020,"97.754","Santa Catarina","SC",2020,"97.754"
2020,"130.600","Rio Grande do Sul","RS",2020,"130.600"
2020,"230.625","Centro-Oeste",NA,2020,"230.625"
2020,"40.870","Mato Grosso do Sul","MS",2020,"40.870"
2020,"57.012","Mato Grosso","MT",2020,"57.012"
2020,"80.255","Goiás","GO",2020,"80.255"
2020,"52.488","Distrito Federal","DF",2020,"52.488"
2021,"2.677.101","Brasil",NA,2021,"2.677.101"
2021,"308.497","Norte",NA,2021,"308.497"
2021,"25.307","Rondônia","RO",2021,"25.307"
2021,"16.562","Acre","AC",2021,"16.562"
2021,"77.839","Amazonas","AM",2021,"77.839"
2021,"13.863","Roraima","RR",2021,"13.863"
2021,"135.265","Pará","PA",2021,"135.265"
2021,"16.389","Amapá","AP",2021,"16.389"
2021,"23.272","Tocantins","TO",2021,"23.272"
